,0,1,2,3,4,5,6,7
6,50,,,,S.P 37.70,,USD,"1,408.00"
7,,,,AVG BGHT PRICE 37.61,,,,
8,,,,NET BGHT 50 AVG PRICE 37.61,,,,
9,,,,** This is the end of the open position summary **,,,,
10,MARKET REVALUATION,,,,,,,
11,,,,,Amount,,Profit/Loss,
12,Open Trade Equity - Fut & Fut Style Options,,,,,,,
13,IFD AEP-Dayton Hub Monthly Off-Peak Futures,,,,"-7,312.50",,"-7,312.50",
14,IFD AEP Dayton Hub Peak (Monthly) Futures,,,,"-18,768.00",,"-18,768.00",
15,IFD PJM WH REAL TIME OFF PEAK (Mont Futures,,,,"482,524.70",,"482,524.70",
16,IFD PJM WH DAY AHEAD LMP Futures,,,,672.00,,672.00,
17,IFD PJM WH REAL TIME PEAK Futures,,,,"10,920.00",,"10,920.00",
18,PJM Western Hub Real-Time Peak Futures,,,,"-910,795.20",,"-910,795.20",
19,,,,,"USD -442,759.00",,"-442,759.00",
20,TOTALS,,,,,,,
21,,,,Segregated AUD,Segregated USD NET USD,,,
22,,,,(0.672200),(1.000000) (1.000000),,,
23,BEGINNING BALANCE,,,,"0.00 217,893.94CR 217,893.94CR",,,
24,SETTLEMENTS,,,,0.00,,,
25,IFD PJM WH REAL TIME,,,,"9,880.00CR 9,880.00CR",,,
26,PJM Western Hub,,,,400.00DR 400.00DR,,,
27,PJM Western Hub,,,,"14,536.00CR 14,536.00CR",,,
28,CLEARING COMMISSIONS,,,,94.50DR 94.50DR,,,
29,EXECUTION COMMISSIONS,,,,50.00DR 50.00DR,,,
30,EXCHANGE FEES,,,,241.00DR 241.00DR,,,
31,NFA FEES,,,,2.52DR 2.52DR,,,
32,ENDING BALANCE,,,,"0.00 241,521.92CR 241,521.92CR",,,
33,FINANCIAL SUMMARY,,,,,,,
34,,,,Segregated USD,NET USD,,,
35,,,,,(1.00000) (1.00000),,,
36,CASH BALANCE,,,,"241,521.92 241,521.92",,,
37,Open Trade Equity,,- Futures,,"-442,759.00 -442,759.00",,,
38,,,- Options,,0.00 0.00,,,
39,TOTAL EQUITY,,,,"-201,237.08 -201,237.08",,,
40,Initial Margin,,,,"-324,087.00 -324,087.00",,,
41,Maintenance Margin,,,,"-324,087.00 -324,087.00",,,
42,,,,,0.00 0.00,,,
43,Excess/(Shortage),,,,"-525,324.08 -525,324.08",,,
44,FOR INFORMATION ONLY,,,,,,,
45,Net Liquidating Value,,,,"-201,237.08 -201,237.08",,,
0,,,,,DAILY STATEMENT,,,
1,,,,,Account: 52311436,,,
2,,,,,24th February 2023,,,
3,,,,,OPEN POSITIONS,,,
4,Date Bght,,Sold,Description,Price,,Ccy,Valuation
5,,,,PJM WESTERN HUB REAL-TIME PEAK (1 MW) FIXED PRICE FUTURE,,,,
6,50,,,,S.P 37.70,,USD,"1,408.00"
7,,,,AVG BGHT PRICE 37.61,,,,
8,,,,NET BGHT 50 AVG PRICE 37.61,,,,
9,,,,** This is the end of the open position summary **,,,,
10,MARKET REVALUATION,,,,,,,
11,,,,,Amount,,Profit/Loss,
12,Open Trade Equity - Fut & Fut Style Options,,,,,,,
13,IFD AEP-Dayton Hub Monthly Off-Peak Futures,,,,"-7,312.50",,"-7,312.50",
14,IFD AEP Dayton Hub Peak (Monthly) Futures,,,,"-18,768.00",,"-18,768.00",
15,IFD PJM WH REAL TIME OFF PEAK (Mont Futures,,,,"482,524.70",,"482,524.70",
16,IFD PJM WH DAY AHEAD LMP Futures,,,,672.00,,672.00,
17,IFD PJM WH REAL TIME PEAK Futures,,,,"10,920.00",,"10,920.00",
18,PJM Western Hub Real-Time Peak Futures,,,,"-910,795.20",,"-910,795.20",
19,,,,,"USD -442,759.00",,"-442,759.00",
20,TOTALS,,,,,,,
21,,,,Segregated AUD,Segregated USD NET USD,,,
22,,,,(0.672200),(1.000000) (1.000000),,,
23,BEGINNING BALANCE,,,,"0.00 217,893.94CR 217,893.94CR",,,
24,SETTLEMENTS,,,,0.00,,,
25,IFD PJM WH REAL TIME,,,,"9,880.00CR 9,880.00CR",,,
26,PJM Western Hub,,,,400.00DR 400.00DR,,,
27,PJM Western Hub,,,,"14,536.00CR 14,536.00CR",,,
28,CLEARING COMMISSIONS,,,,94.50DR 94.50DR,,,
29,EXECUTION COMMISSIONS,,,,50.00DR 50.00DR,,,
30,EXCHANGE FEES,,,,241.00DR 241.00DR,,,
31,NFA FEES,,,,2.52DR 2.52DR,,,
32,ENDING BALANCE,,,,"0.00 241,521.92CR 241,521.92CR",,,
33,FINANCIAL SUMMARY,,,,,,,
34,,,,Segregated USD,NET USD,,,
35,,,,,(1.00000) (1.00000),,,
36,CASH BALANCE,,,,"241,521.92 241,521.92",,,
37,Open Trade Equity,,- Futures,,"-442,759.00 -442,759.00",,,
38,,,- Options,,0.00 0.00,,,
39,TOTAL EQUITY,,,,"-201,237.08 -201,237.08",,,
40,Initial Margin,,,,"-324,087.00 -324,087.00",,,
41,Maintenance Margin,,,,"-324,087.00 -324,087.00",,,
42,,,,,0.00 0.00,,,
43,Excess/(Shortage),,,,"-525,324.08 -525,324.08",,,
44,FOR INFORMATION ONLY,,,,,,,
45,Net Liquidating Value,,,,"-201,237.08 -201,237.08",,,
